REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,Canada,2016A000011124,Total population,Population,15 years and over,Persons,249,thousands,3,v53037416,1.1.1.1,26115.5,,,,1
2006,Canada,2016A000011124,Total population,Population,25 to 54 years,Persons,249,thousands,3,v53037417,1.1.1.2,14116.2,,,,1
2006,Canada,2016A000011124,Total population,Labour force,15 years and over,Persons,249,thousands,3,v53037418,1.1.2.1,17502.2,,,,1
2006,Canada,2016A000011124,Total population,Labour force,25 to 54 years,Persons,249,thousands,3,v53037419,1.1.2.2,12162.5,,,,1
2006,Canada,2016A000011124,Total population,Employment,15 years and over,Persons,249,thousands,3,v53037420,1.1.3.1,16396,,,,1
2006,Canada,2016A000011124,Total population,Employment,25 to 54 years,Persons,249,thousands,3,v53037421,1.1.3.2,11517.8,,,,1
2006,Canada,2016A000011124,Total population,Full-time employment,15 years and over,Persons,249,thousands,3,v53037422,1.1.4.1,13416.8,,,,1
2006,Canada,2016A000011124,Total population,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037423,1.1.4.2,10177.4,,,,1
2006,Canada,2016A000011124,Total population,Part-time employment,15 years and over,Persons,249,thousands,3,v53037424,1.1.5.1,2979.2,,,,1
2006,Canada,2016A000011124,Total population,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037425,1.1.5.2,1340.5,,,,1
2006,Canada,2016A000011124,Total population,Unemployment,15 years and over,Persons,249,thousands,3,v53037426,1.1.6.1,1106.2,,,,1
2006,Canada,2016A000011124,Total population,Unemployment,25 to 54 years,Persons,249,thousands,3,v53037427,1.1.6.2,644.6,,,,1
2006,Canada,2016A000011124,Total population,Not in labour force,15 years and over,Persons,249,thousands,3,v53037428,1.1.7.1,8613.3,,,,1
2006,Canada,2016A000011124,Total population,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037429,1.1.7.2,1953.7,,,,1
2006,Canada,2016A000011124,Total population,Unemployment rate,15 years and over,Percentage,242,units ,0,v53037430,1.1.8.1,6.3,,,,1
2006,Canada,2016A000011124,Total population,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037431,1.1.8.2,5.3,,,,1
2006,Canada,2016A000011124,Total population,Participation rate,15 years and over,Percentage,242,units ,0,v53037432,1.1.9.1,67,,,,1
2006,Canada,2016A000011124,Total population,Participation rate,25 to 54 years,Percentage,242,units ,0,v53037433,1.1.9.2,86.2,,,,1
2006,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units ,0,v53037434,1.1.10.1,62.8,,,,1
2006,Canada,2016A000011124,Total population,Employment rate,25 to 54 years,Percentage,242,units ,0,v53037435,1.1.10.2,81.6,,,,1
2006,Canada,2016A000011124,Landed immigrants,Population,15 years and over,Persons,249,thousands,3,v53037436,1.2.1.1,5730,,,,1
2006,Canada,2016A000011124,Landed immigrants,Population,25 to 54 years,Persons,249,thousands,3,v53037437,1.2.1.2,3071.6,,,,1
2006,Canada,2016A000011124,Landed immigrants,Labour force,15 years and over,Persons,249,thousands,3,v53037438,1.2.2.1,3537.9,,,,1
2006,Canada,2016A000011124,Landed immigrants,Labour force,25 to 54 years,Persons,249,thousands,3,v53037439,1.2.2.2,2553.3,,,,1
2006,Canada,2016A000011124,Landed immigrants,Employment,15 years and over,Persons,249,thousands,3,v53037440,1.2.3.1,3291.4,,,,1
2006,Canada,2016A000011124,Landed immigrants,Employment,25 to 54 years,Persons,249,thousands,3,v53037441,1.2.3.2,2386.5,,,,1
2006,Canada,2016A000011124,Landed immigrants,Full-time employment,15 years and over,Persons,249,thousands,3,v53037442,1.2.4.1,2779.1,,,,1
2006,Canada,2016A000011124,Landed immigrants,Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037443,1.2.4.2,2119.8,,,,1
2006,Canada,2016A000011124,Landed immigrants,Part-time employment,15 years and over,Persons,249,thousands,3,v53037444,1.2.5.1,512.3,,,,1
2006,Canada,2016A000011124,Landed immigrants,Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037445,1.2.5.2,266.7,,,,1
2006,Canada,2016A000011124,Landed immigrants,Unemployment,15 years and over,Persons,249,thousands,3,v53037446,1.2.6.1,246.5,,,,1
2006,Canada,2016A000011124,Landed immigrants,Unemployment,25 to 54 years,Persons,249,thousands,3,v53037447,1.2.6.2,166.8,,,,1
2006,Canada,2016A000011124,Landed immigrants,Not in labour force,15 years and over,Persons,249,thousands,3,v53037448,1.2.7.1,2192.1,,,,1
2006,Canada,2016A000011124,Landed immigrants,Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037449,1.2.7.2,518.4,,,,1
2006,Canada,2016A000011124,Landed immigrants,Unemployment rate,15 years and over,Percentage,242,units ,0,v53037450,1.2.8.1,7,,,,1
2006,Canada,2016A000011124,Landed immigrants,Unemployment rate,25 to 54 years,Percentage,242,units ,0,v53037451,1.2.8.2,6.5,,,,1
2006,Canada,2016A000011124,Landed immigrants,Participation rate,15 years and over,Percentage,242,units ,0,v53037452,1.2.9.1,61.7,,,,1
2006,Canada,2016A000011124,Landed immigrants,Participation rate,25 to 54 years,Percentage,242,units ,0,v53037453,1.2.9.2,83.1,,,,1
2006,Canada,2016A000011124,Landed immigrants,Employment rate,15 years and over,Percentage,242,units ,0,v53037454,1.2.10.1,57.4,,,,1
2006,Canada,2016A000011124,Landed immigrants,Employment rate,25 to 54 years,Percentage,242,units ,0,v53037455,1.2.10.2,77.7,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Population,15 years and over,Persons,249,thousands,3,v53037456,1.3.1.1,787.9,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53037457,1.3.1.2,574.5,,,,1
2006,Canada,2016A000011124,"Immigrants, landed 5 or less years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53037458,1.3.2.1,514.6,,,,1
